time_utc,time_scada,lead_hours,prediction,level1,residual_pred,wind_fc,temp_fc,run_day,turbine_id,issue_time_utc,issue_time_scada,model_version
2026-02-27 10:00:00,2026-02-27 16:00:00,17,0.6057437748072353,0.4805689098773427,0.1251748649298926,7.09,-0.2,2.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-27 11:00:00,2026-02-27 17:00:00,18,0.7017072436929529,0.6376730608552001,0.06403418283775275,8.02,-1.3,2.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-27 12:00:00,2026-02-27 18:00:00,19,0.7468217321025847,0.6336681229361633,0.11315360916642148,7.98,-3.2,2.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-27 13:00:00,2026-02-27 19:00:00,20,0.7028762833967186,0.6724654120030142,0.030410871393704353,8.18,-3.8,2.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-27 14:00:00,2026-02-27 20:00:00,21,0.6431844894149384,0.6176418205662346,0.02554266884870382,7.89,-3.7,2.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-27 15:00:00,2026-02-27 21:00:00,22,0.639265770893793,0.5137601846837403,0.1255055862100527,7.23,-4.0,2.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-27 16:00:00,2026-02-27 22:00:00,23,0.5626881226039135,0.5109533787686601,0.05173474383525345,7.21,-4.6,2.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-27 17:00:00,2026-02-27 23:00:00,24,0.390868001685731,0.4880898213067109,-0.09722181962097992,7.09,-4.7,2.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-27 18:00:00,2026-02-28 00:00:00,25,0.31730564450743576,0.3141023507831262,0.0032032937243095527,6.15,-3.9,2.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-27 19:00:00,2026-02-28 01:00:00,26,0.21101806760431258,0.3248092044020872,-0.11379113679777464,6.23,-4.2,2.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-27 20:00:00,2026-02-28 02:00:00,27,0.2764035589579086,0.21614973801544726,0.06025382094246132,5.33,-4.4,2.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-27 21:00:00,2026-02-28 03:00:00,28,0.28637767049165047,0.2657002714614875,0.02067739903016297,5.77,-5.0,2.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-27 22:00:00,2026-02-28 04:00:00,29,0.32177270840570993,0.3179995510898841,0.003773157315825837,6.17,-5.2,2.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-27 23:00:00,2026-02-28 05:00:00,30,0.3660700441190881,0.45392772489091404,-0.08785768077182593,6.9,-6.1,2.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-28 00:00:00,2026-02-28 06:00:00,31,0.48370734230010587,0.5178953384885604,-0.03418799618845453,7.23,-6.6,2.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-28 01:00:00,2026-02-28 07:00:00,32,0.521574101175664,0.4990126311928995,0.022561469982764537,7.13,-6.6,2.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-28 02:00:00,2026-02-28 08:00:00,33,0.5205314429167165,0.5437624243271569,-0.023230981410440443,7.4,-7.0,2.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-28 03:00:00,2026-02-28 09:00:00,34,0.531061984486889,0.509498382376395,0.021563602110494018,7.18,-7.1,2.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-28 04:00:00,2026-02-28 10:00:00,35,0.5296034562959205,0.5103846515529825,0.019218804742938023,7.19,-6.5,2.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-28 05:00:00,2026-02-28 11:00:00,36,0.47856803476861015,0.49990749885143343,-0.02133946408282328,7.14,-6.0,2.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-28 06:00:00,2026-02-28 12:00:00,37,0.4570139372865315,0.4600294548450532,-0.0030155175585216965,6.93,-6.3,3.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-28 07:00:00,2026-02-28 13:00:00,38,0.38845457553214235,0.4574416213771446,-0.06898704584500226,6.92,-5.9,3.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-28 08:00:00,2026-02-28 14:00:00,39,0.3577999375568232,0.39635540071593506,-0.03855546315911185,6.6,-5.9,3.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-28 09:00:00,2026-02-28 15:00:00,40,0.33098323426128484,0.3084673886297188,0.022515845631566056,6.09,-6.1,3.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-28 10:00:00,2026-02-28 16:00:00,41,0.3233368247800667,0.29923951426218376,0.02409731051788294,6.02,-6.0,3.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-28 11:00:00,2026-02-28 17:00:00,42,0.27289856066391216,0.3188011300660588,-0.045902569402146653,6.17,-6.0,3.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-28 12:00:00,2026-02-28 18:00:00,43,0.28075499399954396,0.2229107202952309,0.057844273704313054,5.38,-6.1,3.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-28 13:00:00,2026-02-28 19:00:00,44,0.243618233898508,0.19253009407848645,0.051088139820021555,5.09,-6.4,3.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-28 14:00:00,2026-02-28 20:00:00,45,0.17722033861304648,0.12533382951323746,0.05188650909980902,4.44,-6.4,3.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-28 15:00:00,2026-02-28 21:00:00,46,0.10227834161568504,0.07660839159342826,0.025669950022256777,3.58,-6.3,3.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-28 16:00:00,2026-02-28 22:00:00,47,0.05129840788334389,0.047612278291236314,0.0036861295921075746,2.78,-6.5,3.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-28 17:00:00,2026-02-28 23:00:00,48,0.091964916850161,0.043487970526029034,0.04847694632413197,2.58,-6.9,3.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
